unique_line,total_occurrences
Has applied for a Retail Package Store All-Alcoholic Beverages License to be exercised on the,8
Has applied for a Retail Package Store All-Alcoholic Beverages License to be exercised on the above -,8
Has applied for a one day amendment to existing license to include extending closing time for a,8
Holder of a Common Victualler 7 Day All-Alcoholic Beverages License has petitioned to provide,8
Holder of a Common Victualler 7 Day Wines and Malt Beverages License has petitioned to,8
Holder of a Common Victualler License has petitioned to change the Manager of the licensed,8
Holder of a Common Victualler License has petitioned to change the Officer/ Director/ LLC Manager,8
Holder of a Retail Package Store Wines and Malt Beverages License has petitioned to transfer the,8
Holder of an (Airport) Common Victualler 7 Day All-Alcoholic Beverages License has petitioned,8
Hours of Operation: 11:00 AM to 10:00 PM,8
"Jamaica Plain, MA 02130",8
"Location: 28 Bennington St East Boston, MA 02128",8
"Location: 9 Lansdowne St Boston, MA 02215",8
"Logan Airport, Terminal E East Boston, MA 02128",8
Officers/Directors of the Corporation.,8
_____________________________________________________________________________________________,8
basement.,8
s. 13A.,8
​GRANTED,8
1. K & G Entertainment LLC,7
15A.,7
"34A, 34C, 64‑64A.",7
"401 Park Dr., Boston, MA 02215",7
"800 Boylston St, Boston, MA 02199",7
"ALLSTON, MA  02134",7
Attorney:  Marshall F. Newman,7
Attorney:  Thomas T. Truax,7
Attorney: Jennifer Allen,7
Attorney: Marci Costa,7
Attorney: Nicholas J. Zozula,7
BEEN HEARD,7
"BOSTON, MA  02108",7
"Boston, MA 02113",7
Closing Time:  10 p.m.,7
Closing Time:  12 a.m.,7
Deferred to allow the Licensee to submit requested supplementary materials,7
Doing business as:  J.P. Licks,7
Doing business as: Borrachito/The Garret Boston,7
Doing business as: China Pearl Restaurant,7
Doing business as: Clerys,7
Doing business as: Crave,7
Doing business as: Estella,7
Doing business as: Lolita Cocina & Tequila Bar,7
Doing business as: Los Arrieros Restaurant,7
Doing business as: Medallo,7
Doing business as: Night Shift Brewing,7
Doing business as: The Dudley Inn,7
Doing business as: The Raffles Hotel,7
Doing business as: Unity Sports,7
Has applied for a Common Victualler 7 Day Malt & Wine License to be exercised on,7
Has applied for a Common Victualler 7 Day Wines and Malt Beverages with Liqueurs License to be,7
Has applied for an (Airport) Common Victualler 7 Day All-Alcoholic Beverages License to be,7
"Hearing Date: January 15, 2025",7
Holder of a Common Victualler 7 Day All Alcoholic Beverages License has petitioned to transfer the,7
Holder of a Common Victualler 7 Day All‑Alcoholic Beverages License has petitioned to change,7
Holder of a Common Victualler 7 Day All‑Alcoholic Beverages License has petitioned to change the,7
Holder of a Common Victualler 7 Day Wines & Malt Beverages License has petitioned,7
Holder of a Common Victualler 7 Day Wines & Malt Beverages License has petitioned to change the,7
Holder of a Common Victualler 7 Day Wines and Malt Beverages License has petitioned for a,7
Holder of a Common Victualler License has petitioned to Change the Closing Hours of the licensed,7
Holder of a Common Victualler License has petitioned to amend the closing hour of the licensed,7
Holder of a Common Victualler License has petitioned to amend the description of the licensed,7
Holder of a Common Victualler License has petitioned to update the capacity of the licensed business‑,7
Hours of Operation:  11:00 AM to 9:00 PM,7
Hours of Operation:  7:00 AM to 7:00 PM,7
Hours of Operation: 11:00 AM to 12:00 AM,7
Hours of Operation: 5:00 AM to 10:00 PM,7
Hours of Operation: 6:00 AM to 10:00 PM,7
Hours of Operation: 6:00 AM to 11:00 PM,7
Hours of Operation: 9:00 AM to 9:00 PM,7
Incident Description: Failure to adhere to the Governor’s Executive Order and the,7
LICENSE APPLICATIONS UNTIL ALL APPLICATIONS RECEIVED BY MAY 23 HAVE,7
LLC.,7
"Location: 279 Tremont St Boston, MA 02116",7
"Location: 71 ‑ 79 Warrenton St Boston, MA 02116",7
"Logan Airport Terminal B East Boston, MA 02128",7
Manager:  James Razsa,7
Manager: Michael Minichello,7
"Notice: Patron on patron assault in violation of M.G.L. ch. 138 s. 64, ch. 265 s. 13A.",7
"The Board deferred the following to allow for completion of the community process, which",7
"The Board requests submission of a written plan to manage the impact of takeout, delivery, and",7
The Following have applied to make changes to their existing Dormitory License:,7
The following have applied to make changes to their existing Common Victualler License,7
To be rescheduled,7
and Board's rule 1.08F.,7
business‑ From: 11:00 AM ‑ 10:00 PM  To: 11:00 AM ‑ 11:00 PM,7
manager of record.,7
of M.G.L. ch. 138 s. 64.,7
petitioned to change the corporate name From: Starbuck’s Coffee Company To: Starbucks,7
petitioned to change the manager From – Joseph LaChance To –  Jessica Tantin. Granted,7
violation of M.G.L. ch. 138 s. 64.,7
​Granted,7
"1 Lovejoy Wharf, Boston, MA 02114",6
11.,6
11:00 PM.,6
138 s. 64.,6
"1420 - 1440 Soldiers Field Rd., Brighton, MA 02135",6
"306 Northern Av., Boston, MA 02210",6
"32 Cambridge St., Charlestown, MA 02129",6
"351 Boylston St., Boston, MA 02116",6
Attorney:  Kristen Scanlon,6
Attorney:  Steffani Boudreau,6
Attorney: Caroline O'Connell,6
Attorney: Eugene R. Richard,6
Attorney: Nicholas Zozula,6
"BOSTON, MA  02199",6
Bank.,6
Beverages License.,6
Board’s Advisory limiting capacity to forty percent (40%) of total seating capacity,6
"Condition: No increase to the amount of floor space dedicated to alcohol, or changes to the",6
D/B/A:  LEGAL SEA FOODS,6
"DORCHESTER, MA  02124",6
Doing business as: Bell In Hand,6
Doing business as: Blank Street Coffee,6
Doing business as: Crystal Restaurant/Garage Room,6
Doing business as: Delta Sky Club,6
Doing business as: Democracy Brewing,6
Doing business as: Dublin Pub,6
Doing business as: Empire,6
Doing business as: Fenway Johnnie's,6
Doing business as: Golden Goose Market,6
Doing business as: Hilton Boston Downtown/Faneuil Hall,6
Doing business as: Huntington Liquors,6
Doing business as: Loretta's Last Call,6
Doing business as: Margaritaville,6
Doing business as: McDonald’s,6
Doing business as: Qdoba Mexican Eats,6
Doing business as: Scholars,6
Doing business as: Spectrum,6
Doing business as: Star Market,6
Doing business as: Tree House Brewing Company,6
Doing business as: Walsh Wine & Spirits,6
Doing business as: West End Johnnie's,6
Failure to call 911 in violation of M.G.L. ch. 138 s. 64 and Board's rule 1.14B.,6
Granted pending availability of a license,6
Has applied for a Common Victualler 7 Day All Alcohol License to be exercised on,6
Has applied for a Common Victualler 7 Day All‑Alcoholic Beverages License to be exercised on,6
"Has applied for a Common Victualler 7 Day Malt, Wine & Liqueur License to be",6
Has applied for a Common Victualler 7 Day Wines and Malt Beverages License to be,6
Has applied for a Common Victualler 7 Day Wines and Malt Beverages License to be exercised on,6
"Has applied for a Common Victualler License to be exercised at a previously licensed location‑ 1,000SF",6
"Has applied for a Common Victualler License to be exercised at a previously licensed location‑ 1,500SF",6
Has applied for a General On-Premise All-Alcoholic Beverages License to be exercised on the above -,6
"Hearing Date: April 16, 2025",6
"Hearing Date: October 16, 2024",6
Holder of a Club All-Alcoholic Beverages License has petitioned for a change of Officers/Directors.,6
Holder of a Common Victualler 7 Day All Alcoholic Beverages License has petitioned for a,6
Holder of a Common Victualler 7 Day All Alcoholic Beverages License has petitioned to change the,6
Holder of a Common Victualler 7 Day All-Alcoholic Beverages License has petitioned to Pledge the,6
Holder of a Common Victualler 7 Day All-Alcoholic Beverages License has petitioned to change,6
Holder of a Common Victualler 7 Day All-Alcoholic Beverages License has petitioned to change the manager,6
Holder of a Common Victualler 7 Day All-Alcoholic Beverages License has petitioned to pledge the,6
Holder of a Common Victualler 7 Day All-Alcoholic Beverages has petitioned to pledge the license to Eastern,6
Holder of a Common Victualler 7 Day All‑Alcoholic Beverages License has petitioned to amend,6
Holder of a Common Victualler 7 Day All‑Alcoholic Beverages License has petitioned to transfer the,6
Holder of a Common Victualler 7 Day Wines and Malt Beverages License has petitioned for a change,6
Holder of a Common Victualler 7-Day All-Alcoholic Beverages License has petitioned to,6
Holder of a Common Victualler 7-Day All-Alcoholic Beverages License has petitioned to transfer the,6
Holder of a Common Victualler License has petitioned to change the Ownership interest of the licensed,6
Holder of a Retail Package Store All‑Alcoholic Beverages License has petitioned for a change of,6
Holder of an (Airport) Common Victualler 7 Day All Alcoholic Beverages license has,6
Holder of an Innholder All-Alcoholic Beverages License has petitioned for a change in,6
Hour.,6
Hours of Operation:  10:00 AM to 11:00 PM,6
Hours of Operation:  6:00 AM to 11:00 PM,6
Hours of Operation:  6:00 AM to 8:00 PM,6
Hours of Operation: 10:00 AM to 9:00 PM,6
Hours of Operation: 7:00 AM to 5:00 PM,6
Incident to be docketed,6
Licensee failed to appear - to be rescheduled,6
"Location: 25 Kingston St Boston, MA 02111",6
"Location: 72 ‑ 82  Lansdowne  Boston, MA  02215",6
"Logan Airport Terminal A East Boston, MA 02128",6
"Logan Airport, Terminal B, East Boston, MA 02128",6
"M.G.L. ch. 138 s. 64, ch. 265 s. 15A.",6
Manager.,6
Manager:  Sean Metzinger,6
Manager: Nathan Kearney,6
No common Space.,6
Non Hearing Common Victualler Transactions,6
"Notice: Assault and battery patron on staff in violation of M.G.L. ch. 138 s. 64, ch. 265 s. 13A.",6
Notice: Blocked fire exit in violation of M.G.L. ch. 138 s. 64 and Board's rule 1.06A.,6
"Notice: Person under 21 in possession of alcohol on premise in violation of M.G.L. ch. 138 s. 34A,",6
Notice: Persons under 21 in possession of alcohol on premise in violation of M.G.L. ch. 138 s.,6
The Board voted to approve a Zip Code restricted Wines and Malt Beverages License,6
The Following have applied to make changes to their existing Lodging House License:,6
"changes to the floorplan on file with the Board, without Board approval.",6
for a change of Officers/Directors of,6
"materials: Massachusetts Sportservice, Inc. d/b/a TD Garden, 100 Legends Way, Boston, MA 02114",6
rear.,6
"s. 64, ch. 265 s. 15A.",6
third party app-based delivery services prior to beginning any third party takeout or delivery,6
02215 has petitioned to change the manager From: Jessica Tantin To: Jonathan Webster.,5
1. Boston Ballroom Corporation,5
1.06A.,5
"100 High St., Boston, MA 02110",5
"100 Terminal Rd., East Boston, MA 02128",5
"110 Huntington Ave., Boston, MA 02116",5
"115 Federal St, Boston, MA 02110",5
"2. AHF Speedway Holdings, LLC",5
"2. Adare, Inc.",5
"29-35 Temple Place, Boston, MA 02111",5
"30 Germania St., Jamaica Plain, MA 02130",5
"5. Concorde Entertainment, Inc.",5
"5. Fuente Cleaning Services, Inc.",5
"6. Big Night Venues Boston 4, LLC",5
"6. Massachusetts Sportservice, Inc.",5
"64 and Board's rule 1.03J, 1.06A,F.",5
64.,5
64‑64A.,5
ABCC review,5
All Special One Day Licenses Have Been Granted,5
Attorney:  Caroline O'Connell,5
Attorney:  Joseph P. Hanley,5
Attorney:  Khuong Nguyen,5
Attorney:  Louis A. Cassis,5
Attorney:  Matthew S. Porter,5
Attorney:  Nelson C. Chang,5
Attorney:  Scott C. Holmes,5
Attorney: Carolyn M Conway,5
Attorney: Kristen Scanlon,5
"BRIGHTON, MA 02135",5
Board's rule 1.08F.,5
Bradley Beckstrom (Officer) To: Robert Larson (officer).,5
"Brighton, MA 02135",5
Chapter 481 of the Acts of 1994.,5
Closing Hour.,5
Closing Time:  1 a.m.,5
Closing Time: N/A,5
Continued,5
"Daniel Brennan Jr. and lastly, has petitioned to add officer Jandi Gamboa and Cynthia Sliva.",5
Date: 06/04/2022,5
Date: 08/07/2022,5
Date: 08/10/2021,5
Date: 12/17/2023,5
Deferred to allow the Board to review submitted video evidence,5
Doing business as: A.T. O’Keeffe’s,5
Doing business as: Anna's Taqueria,5
Doing business as: Bartaco,5
Doing business as: Club Café,5
Doing business as: Forcella,5
Doing business as: Gong Cha,5
Doing business as: Harvard Convenience,5
Doing business as: High Street Place,5
Doing business as: House Of Blues,5
Doing business as: Howl At the Moon and Down Ultra Lounge,5
Doing business as: La Abundancia Restaurant,5
Doing business as: Landmark Public House,5
Doing business as: Las Delicias Colombianas 2,5
Doing business as: Legal Sea Foods,5
Doing business as: Little Haiti International Cuisine,5
Doing business as: Locale,5
Doing business as: Miami Restaurant,5
Doing business as: Nick's/Venu,5
Doing business as: Park 54 Restaurant & Lounge,5
Doing business as: Pink Taco,5
Doing business as: Seaport Hotel,5
Doing business as: The Boston Beer Company,5
Doing business as: The Greatest Bar,5
Doing business as: The Power Station,5
Doing business as: The Smoke Shop BBQ,5
Doing business as: Time Out Market,5
Doing business as: Wagamama,5
"Dorchester, MA 02122",5
"Dorchester, MA 02124",5
Emergency Licensed Premise Inspection Hearing:,5
From: Matthew Lagor To: Matthew Lemke,5
From: Toney Jones To: Thomas Nee,5
GRANTED PENDING AVAILABILITY OF A LICENSE,5
Has applied for a Common Victualler License to be exercised at a previously licensed location ‐,5
Has applied for a(n) Reception at:,5
"Hearing Date: December 11, 2024",5
"Hearing Date: June 25, 2025",5
"Hearing Date: November 20, 2024",5
Holder of a Common Victualler 7 Day All Alcoholic Beverages License has petitioned to amend the,5
Holder of a Common Victualler 7 Day All‑Alcoholic Beverages License has petitioned for a,5
Holder of a Common Victualler 7 Day All‑Alcoholic Beverages License has petitioned to transfer,5
Holder of a Common Victualler 7 Day Wines and Malt Beverages License has,5
Holder of a Common Victualler 7 Day Wines and Malt Beverages w/ Liqueurs License,5
Holder of a Common Victualler 7 Day Wines and Malt Beverages w/ Liqueurs License has,5
Holder of a Common Victualler 7 Day Wines and Malt Beverages with Liqueurs License has petitioned to,5
Holder of a Common Victualler License has petitioned to Change the Closing Hours to the location of,5
Holder of a Common Victualler License has petitioned to change the Corporate Name of the license,5
Holder of a Common Victualler License has petitioned to change the Manager of the licensed business ‑,5
Holder of a Common Victualler License has petitioned to change the Ownership Interest of the license,5
Holder of a Farmer Brewery & Winery Pouring License has petitioned to change the,5
Holder of an (Airport) Common Victualler 7 Day All-Alcoholic Beverages License has,5
Holder of an Innholder All-Alcoholic Beverages License has petitioned to transfer the license from the,5
Hours of Operation:  10:00 AM to 10:00 PM,5
Hours of Operation:  6:00 AM to 10:00 PM,5
Hours of Operation:  7 a.m. to 7 p.m.,5
Hours of Operation:  9:00 AM to 11:00 PM,5
Hours of Operation: 10:00 AM to 8:00 PM,5
Hours of Operation: 11:00 AM to 9:30 PM,5
Hours of Operation: 7:00 AM to 10:00 PM,5
Hours of Operation: 8:00 AM to 10:00 PM,5
Hours of Operation: 8:00 AM to 11:00 PM,5
Hours of Operation: 8:00 AM to 12:00 AM,5
Hours of Operation: 9:00 AM to 10:00 PM,5
License #:  LB-99098,5
License #: LB-304109,5
License #: LB-431061,5
License #: LB-463565,5
Licensee must have a copy of the approved floorplan on the premises at all times,5
"Location: 100B Warrenton St., Boston, MA 02116",5
"Location: 128  Brighton Ave Allston, MA  02134",5
"Location: 138  Portland St Boston, MA  02114",5
"Location: 279  Tremont St Boston, MA  02116",5
"Location: 411  Chelsea St East Boston, MA  02128",5
"Location: 5 ‑ 9A Tyler St Boston, MA 02111",5
"Location: 72 ‑ 82 Lansdowne Boston, MA 02215",5
"Logan Airport, Terminal E, East Boston, MA 02128",5
"M.G.L. ch. 138 s. 64, ch. 265 s. 13A.",5
Manager:  Skyler Patrick,5
Manager: Lauren Lanier,5
Manager: Paul Terranova,5
Meredith Keaney,5
No Action Taken,5
Notice: Bottle service violation in violation of M.G.L. ch. 138 s. 64.,5
"Notice: Persons under 21 in possession of alcohol in violation of M.G.L. ch. 138 s. 34A, 34C, 64‑64A.",5
"Roslindale, MA 02131",5
Stock/Ownership Interest.,5
WITHDRAWN,5
Warning,5
___________________________________________________________________________,5
___________________________________________________________________________________________,5
____________________________________________________________________________________________,5
"ch. 138 s. 64, ch. 265 s. 13A.",5
"ch. 138 s. 64, ch. 265 s. 15A.",5
ch. 138 s. 64.,5
